Date,Open,High,Low,Close,Volume
2021-05-07 06:27:59,4.3689,4.3689,4.3689,4.3689,200
2021-05-07 06:28:00,4.36,4.36,4.3409,4.3409,3199
2021-05-07 06:28:01,4.36,4.36,4.36,4.36,505
2021-05-07 06:28:03,4.3599,4.3599,4.3599,4.3599,100
2021-05-07 06:28:09,4.35,4.36,4.35,4.35,1589
2021-05-07 06:28:25,4.35,4.35,4.35,4.35,100
2021-05-07 06:28:28,4.3301,4.3301,4.3301,4.3301,2000
2021-05-07 06:28:31,4.3301,4.3301,4.3301,4.3301,100
2021-05-07 06:28:32,4.34,4.34,4.34,4.34,187
2021-05-07 06:28:33,4.331,4.331,4.331,4.331,3000
2021-05-07 06:28:34,4.34,4.34,4.32,4.32,4211
2021-05-07 06:28:35,4.32,4.32,4.32,4.32,411
2021-05-07 06:28:36,4.325,4.325,4.32,4.32,1000
2021-05-07 06:28:38,4.315,4.315,4.315,4.315,200
2021-05-07 06:28:39,4.32,4.331,4.32,4.331,5224
2021-05-07 06:28:41,4.34,4.34,4.31,4.33,4600
2021-05-07 06:28:43,4.31,4.31,4.31,4.31,310
2021-05-07 06:28:45,4.32,4.32,4.32,4.32,878
2021-05-07 06:28:46,4.325,4.325,4.3,4.3,5687
2021-05-07 06:28:47,4.305,4.305,4.3,4.3,220
2021-05-07 06:28:48,4.3006,4.3006,4.3001,4.3001,1400
2021-05-07 06:28:49,4.305,4.31,4.3,4.31,1810
2021-05-07 06:28:50,4.31,4.31,4.3091,4.31,1100
2021-05-07 06:28:51,4.305,4.305,4.3,4.3,2800
2021-05-07 06:28:54,4.305,4.305,4.3,4.3,2600
2021-05-07 06:28:55,4.3085,4.31,4.3003,4.31,3040
2021-05-07 06:28:56,4.305,4.305,4.3,4.3,1132
2021-05-07 06:28:57,4.3017,4.3017,4.3,4.3,200
2021-05-07 06:28:58,4.305,4.31,4.3,4.3097,805
2021-05-07 06:28:59,4.3,4.31,4.3,4.31,300
2021-05-07 06:29:07,4.3099,4.3099,4.3099,4.3099,1000
2021-05-07 06:29:10,4.3092,4.3092,4.3,4.3,1344
2021-05-07 06:29:11,4.3062,4.3062,4.305,4.305,450
2021-05-07 06:29:13,4.3099,4.3099,4.3,4.3,1200
2021-05-07 06:29:17,4.3083,4.3083,4.3,4.3,501
2021-05-07 06:29:19,4.305,4.305,4.305,4.305,415
2021-05-07 06:29:28,4.3007,4.3007,4.3,4.3,1123
2021-05-07 06:29:29,4.3,4.305,4.3,4.305,636
2021-05-07 06:29:31,4.305,4.305,4.3,4.3,1810
2021-05-07 06:29:34,4.3,4.3,4.3,4.3,1000
2021-05-07 06:29:36,4.3,4.3,4.3,4.3,510
2021-05-07 06:29:39,4.3085,4.3085,4.3,4.3,390
2021-05-07 06:29:40,4.3085,4.3085,4.3085,4.3085,210
2021-05-07 06:29:45,4.31,4.31,4.31,4.31,100
2021-05-07 06:29:47,4.3,4.3,4.3,4.3,106
2021-05-07 06:29:48,4.31,4.31,4.31,4.31,5000
2021-05-07 06:29:55,4.3085,4.3085,4.3005,4.3005,999
2021-05-07 06:29:57,4.305,4.305,4.305,4.305,200
2021-05-07 06:29:58,4.31,4.31,4.3097,4.3097,9984
2021-05-07 06:30:00,4.32,4.32,4.32,4.32,500
2021-05-07 06:30:01,4.3279,4.33,4.3049,4.3049,1397
2021-05-07 06:30:02,4.31,4.31,4.31,4.31,130
2021-05-07 06:30:07,4.32,4.32,4.32,4.32,100
2021-05-07 06:30:11,4.3201,4.3324,4.3201,4.3324,750
2021-05-07 06:30:13,4.3399,4.3399,4.31,4.31,1876
2021-05-07 06:30:19,4.32,4.325,4.32,4.325,457
2021-05-07 06:30:21,4.315,4.315,4.315,4.315,500
2021-05-07 06:30:24,4.32,4.32,4.32,4.32,5510
2021-05-07 06:30:25,4.34,4.34,4.34,4.34,600
2021-05-07 06:30:26,4.349,4.349,4.32,4.32,1175
2021-05-07 06:30:32,4.32,4.32,4.32,4.32,2566
2021-05-07 06:30:33,4.32,4.32,4.32,4.32,505
2021-05-07 06:30:34,4.32,4.32,4.32,4.32,833
2021-05-07 06:30:35,4.34,4.34,4.34,4.34,500
2021-05-07 06:30:37,4.34,4.35,4.34,4.3497,2000
2021-05-07 06:30:39,4.335,4.335,4.335,4.335,500
2021-05-07 06:30:43,4.3499,4.3499,4.3499,4.3499,502
2021-05-07 06:30:46,4.34,4.34,4.34,4.34,400
2021-05-07 06:30:47,4.34,4.34,4.3399,4.3399,1100
2021-05-07 06:30:54,4.34,4.34,4.3311,4.3311,1200
